id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OG;Succ;Att;Succ%;#Pl;Megs;Tkl;Cont;Tkl%;Past;Matches
109;Iñigo Córdoba\Inigo-Cordoba;es ESP;FW;Athletic Bilbao;22;1997;8.6;4;0;0;16;11;4;21;7;5;0;0;0;8;16;50.0;8;0;12;33;36.4;21;Matches
110;Ángel Correa\Angel-Correa;ar ARG;MFFW;Atlético Madrid;24;1995;15.6;5;0;0;19;23;7;25;10;8;0;0;0;29;57;50.9;33;1;16;41;39.0;25;Matches
111;Rober Correa\Rober-Correa;es ESP;DF;Eibar;26;1992;2.9;0;0;0;3;4;0;9;3;1;0;0;0;0;1;0.0;0;0;6;8;75.0;2;Matches
112;Thierry Correia\Thierry-Correia;pt POR;DF;Valencia;20;1999;2.0;0;0;0;3;5;0;1;3;2;0;0;0;0;1;0.0;0;0;5;6;83.3;1;Matches
113;Diego Costa\Diego-Costa;es ESP;FW;Atlético Madrid;30;1988;8.7;2;0;0;15;11;11;3;3;1;0;0;0;6;13;46.2;6;0;3;7;42.9;4;Matches
114;Jaume Costa\Jaume-Costa;es ESP;DF;Valencia;31;1988;10.7;1;0;0;14;16;1;20;18;15;0;0;0;9;14;64.3;9;1;26;33;78.8;7;Matches
115;David Costas\David-Costas;es ESP;DF;Celta Vigo;24;1995;3.7;1;0;0;5;2;0;0;4;6;0;0;0;0;0;;0;0;7;10;70.0;3;Matches
116;Thibaut Courtois\Thibaut-Courtois;be BEL;GK;Real Madrid;27;1992;23.0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;;0;0;0;1;0.0;1;Matches
117;Sebastián Cristóforo\Sebastian-Cristoforo;uy URU;MF;Eibar;25;1993;2.7;0;0;0;5;6;1;3;4;3;0;0;0;0;1;0.0;0;0;7;10;70.0;3;Matches
118;Cucho\Cucho;co COL;FWMF;Mallorca;20;1999;7.9;3;0;0;10;17;3;10;6;3;0;1;0;14;20;70.0;14;1;11;17;64.7;6;Matches
