"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"xG";"npxG";"npxG/Sh";"G-xG";"np:G-xG";"Matches"
512;Juan Villar\Juan-Villar;es ESP;FW;Osasuna;31;1988;2.6;1;1;1;5;2;0;40.0;1.92;0.77;0.00;0.00;1.1;0.3;0.07;-0.1;-0.3;Matches
513;Vitolo\Vitolo;es ESP;MFFW;Atlético Madrid;29;1989;11.4;2;0;0;15;9;0;60.0;1.32;0.79;0.13;0.22;1.9;1.9;0.13;+0.1;+0.1;Matches
514;Šime Vrsaljko\Sime-Vrsaljko;hr CRO;DF;Atlético Madrid;27;1992;4.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
515;Nikola Vukčević\Nikola-Vukcevic;me MNE;MF;Levante;27;1991;11.2;0;0;0;4;1;0;25.0;0.36;0.09;0.00;0.00;0.2;0.2;0.05;-0.2;-0.2;Matches
516;Moussa Wagué\Moussa-Wague;sn SEN;DF;Barcelona;20;1998;1.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
517;Wakaso\Wakaso;gh GHA;MF;Alavés;29;1990;14.3;0;0;0;14;1;0;7.1;0.98;0.07;0.00;0.00;0.3;0.3;0.02;-0.3;-0.3;Matches
518;Daniel Wass\Daniel-Wass;dk DEN;DFMF;Valencia;30;1989;24.1;1;0;0;16;4;0;25.0;0.66;0.17;0.06;0.25;1.2;1.2;0.08;-0.2;-0.2;Matches
519;Iñaki Williams\Inaki-Williams;es ESP;FW;Athletic Bilbao;25;1994;23.5;5;1;2;29;16;0;55.2;1.23;0.68;0.14;0.25;5.8;4.3;0.15;-0.8;-0.3;Matches
520;Yoel\Yoel;es ESP;GK;Eibar;30;1988;1.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
521;Okay Yokuşlu\Okay-Yokuslu;tr TUR;MF;Celta Vigo;25;1994;14.2;0;0;0;5;1;0;20.0;0.35;0.07;0.00;0.00;0.1;0.1;0.02;-0.1;-0.1;Matches
522;Joseba Zaldúa\Joseba-Zaldua;es ESP;DF;Real Sociedad;27;1992;21.8;0;0;0;7;2;0;28.6;0.32;0.09;0.00;0.00;0.2;0.2;0.02;-0.2;-0.2;Matches
523;Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa;cm CMR;MF;Villarreal;23;1995;18.7;1;0;0;23;6;0;26.1;1.23;0.32;0.04;0.17;1.4;1.4;0.06;-0.4;-0.4;Matches
524;Igor Zubeldia\Igor-Zubeldia;es ESP;MFDF;Real Sociedad;22;1997;21.0;0;0;0;11;0;0;0.0;0.52;0.00;0.00;;0.2;0.2;0.02;-0.2;-0.2;Matches
525;David Zurutuza\David-Zurutuza;es ESP;MF;Real Sociedad;33;1986;1.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
526;Martin Ødegaard\Martin-Odegaard;no NOR;MF;Real Sociedad;20;1998;21.4;4;0;0;40;15;3;37.5;1.87;0.70;0.10;0.27;2.7;2.7;0.07;+1.3;+1.3;Matches
