"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Ast";"xA";"A-xA";"KP";"Cmp";"Att";"CmpPER";"shortCmp";"shortAtt";"shortCmpPER";"mediumCmp";"mediumAtt";"mediumCmpPER";"longCmp";"longAtt";"longCmpPER";"Left";"Right";"FK";"TB";"CK";"TI";"1/3";"PPA";"CrsPA";"Matches"
297;Álex Martínez\Alex-Martinez;es ESP;DF;Granada;28;1990;0.2;0;0.0;0.0;0;5;10;50.0;0;0;;3;4;75.0;2;6;33.3;8;0;2;0;1;1;0;1;0;Matches
298;Iñigo Martínez\Inigo-Martinez;es ESP;DF;Athletic Bilbao;28;1991;23.0;1;0.9;+0.1;6;852;1071;79.6;3;19;15.8;494;560;88.2;355;492;72.2;749;207;60;2;0;34;89;8;3;Matches
299;Pablo Martínez\Pablo-Martinez;es ESP;MF;Levante;21;1998;0.2;0;0.0;0.0;0;8;9;88.9;0;0;;8;8;100.0;0;1;0.0;1;8;0;0;0;0;0;0;0;Matches
300;Jordi Masip\Jordi-Masip;es ESP;GK;Valladolid;30;1989;26.0;0;0.0;0.0;1;419;799;52.4;1;2;50.0;128;128;100.0;290;669;43.3;20;629;88;0;0;0;8;1;0;Matches
301;Jaime Mata\Jaime-Mata;es ESP;FW;Getafe;30;1988;20.7;3;2.0;+1.0;21;310;496;62.5;20;62;32.3;246;350;70.3;44;84;52.4;58;317;2;1;0;1;22;6;3;Matches
302;Borja Mayoral\Borja-Mayoral;es ESP;FW;Levante;22;1997;16.5;1;1.1;-0.1;14;294;373;78.8;14;30;46.7;238;281;84.7;42;62;67.7;60;277;1;2;0;2;21;6;1;Matches
303;Óscar Melendo\Oscar-Melendo;es ESP;MFFW;Espanyol;21;1997;6.9;0;0.3;-0.3;10;156;186;83.9;5;10;50.0;131;148;88.5;20;28;71.4;155;18;0;3;3;1;16;6;1;Matches
304;Gonzalo Melero\Gonzalo-Melero;es ESP;MF;Levante;25;1994;8.9;1;0.4;+0.6;7;269;329;81.8;8;20;40.0;221;251;88.0;40;58;69.0;23;275;7;2;0;1;16;7;0;Matches
305;Arthur Melo\Arthur-Melo;br BRA;MF;Barcelona;22;1996;11.2;3;1.1;+1.9;9;761;842;90.4;21;38;55.3;605;644;93.9;135;160;84.4;28;792;20;2;13;8;82;12;0;Matches
306;Brais Méndez\Brais-Mendez;es ESP;MFFW;Celta Vigo;22;1997;11.3;1;0.6;+0.4;8;351;476;73.7;11;34;32.4;294;350;84.0;46;92;50.0;379;61;9;2;9;3;36;6;1;Matches
307;Édgar Méndez\Edgar-Mendez;es ESP;MF;Alavés;28;1991;2.8;0;0.0;0.0;1;37;57;64.9;1;5;20.0;29;41;70.7;7;11;63.6;10;38;1;0;0;0;3;1;0;Matches
308;Ferland Mendy\Ferland-Mendy;fr FRA;DF;Real Madrid;24;1995;12.2;2;1.4;+0.6;14;650;784;82.9;6;31;19.4;550;608;90.5;94;145;64.8;434;201;8;0;0;110;29;15;6;Matches
309;Fran Mérida\Fran-Merida;es ESP;MF;Osasuna;29;1990;10.3;0;0.2;-0.2;7;450;592;76.0;8;18;44.4;286;349;81.9;156;225;69.3;470;83;21;1;2;3;56;10;2;Matches
310;Mikel Merino\Mikel-Merino;es ESP;MF;Real Sociedad;23;1996;23.0;1;1.7;-0.7;25;1017;1284;79.2;26;49;53.1;795;947;83.9;196;288;68.1;1035;102;15;1;1;2;140;24;4;Matches
311;Sabin Merino\Sabin-Merino;es ESP;FW;Leganés;27;1992;0.9;0;0.0;0.0;1;17;21;81.0;0;0;;16;19;84.2;1;2;50.0;5;12;0;0;0;0;0;0;0;Matches
312;Roque Mesa\Roque-Mesa;es ESP;MF;Leganés;30;1989;16.7;2;1.5;+0.5;19;492;613;80.3;15;25;60.0;396;446;88.8;81;142;57.0;143;443;19;2;18;8;53;14;4;Matches
