"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
84;Alessandro Bastoni\Alessandro-Bastoni;it ITA;DF;it Inter;20;1999;1;0;14;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
85;Bastos\Bastos;ao ANG;DF;it Lazio;28;1991;5;5;440;1;0;0;0;1;0;0.20;0.00;0.20;0.20;0.20;0.4;0.4;0.0;0.08;0.00;0.08;0.08;0.08;Matches
86;Rodrigo Battaglia\Rodrigo-Battaglia;ar ARG;MF;pt Sporting CP;28;1991;2;2;210;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.06;0.00;0.06;0.06;0.06;Matches
87;Moritz Bauer\Moritz-Bauer;at AUT;DF;sco Celtic;27;1992;3;2;181;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.2;0.00;0.11;0.11;0.00;0.11;Matches
88;Noam Baumann\Noam-Baumann;ch SUI;GK;ch Lugano;23;1996;5;5;450;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
89;Timo Baumgartl\Timo-Baumgartl;de GER;DF;nl PSV Eindhoven;23;1996;3;3;270;1;0;0;0;0;0;0.33;0.00;0.33;0.33;0.33;0.1;0.1;0.0;0.04;0.00;0.04;0.04;0.04;Matches
90;Julian Baumgartlinger\Julian-Baumgartlinger;at AUT;MF;de Leverkusen;31;1988;1;0;18;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
91;Kerem Baykuş\Kerem-Baykus;tr TUR;MF;tr Trabzonspor;19;2000;2;1;100;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.02;0.00;0.02;0.02;0.02;Matches
92;Donny van de Beek\Donny-van-de-Beek;nl NED;MF;nl Ajax;22;1997;2;2;180;0;1;0;0;0;0;0.00;0.50;0.50;0.00;0.50;0.2;0.2;0.8;0.12;0.41;0.54;0.12;0.54;Matches
93;Asmir Begović\Asmir-Begovic;ba BIH;GK;az Qarabağ Ağdam;32;1987;5;5;450;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
