id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost;Won%;Matches
112;Steven Bergwijn\Steven-Bergwijn;nl NED;FW;nl PSV Eindhoven;21;1997;4.4;0;0;0;4;11;4;3;1;2;0;0;0;24;2;12;14.3;Matches
113;Robert Berić\Robert-Beric;si SVN;FW;fr Saint-Étienne;28;1991;3.5;2;0;0;6;5;2;1;0;3;0;0;0;11;5;13;27.8;Matches
114;Mergim Berisha\Mergim-Berisha;de GER;MF;at RB Salzburg;21;1998;0.2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0.0;Matches
115;Valon Berisha\Valon-Berisha;xk KVX;MF;it Lazio;26;1993;1.8;0;0;0;4;3;0;2;1;3;0;0;0;14;1;1;50.0;Matches
116;Di'Shon Bernard\DiShon-Bernard;eng ENG;DF;eng Manchester Utd;18;2000;1.0;0;0;0;0;0;0;0;2;0;0;0;1;7;1;3;25.0;Matches
117;Antoine Bernede\Antoine-Bernede;fr FRA;MF;at RB Salzburg;20;1999;0.0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;;Matches
118;Antoine Bernier\Antoine-Bernier;be BEL;FWMF;lu F91 Dudelange;21;1997;5.7;1;0;0;8;6;2;4;3;5;0;0;0;40;2;7;22.2;Matches
119;Artem Besyedin\Artem-Besyedin;ua UKR;FW;ua Dynamo Kyiv;23;1996;4.3;2;0;0;9;8;3;1;2;1;0;0;0;14;16;17;48.5;Matches
120;Adel Bettaieb\Adel-Bettaieb;tn TUN;FW;lu F91 Dudelange;22;1997;1.4;0;0;0;2;3;2;1;0;0;0;0;0;5;4;3;57.1;Matches
121;Denys Bezborodko\Denys-Bezborodko;ua UKR;FW;ua FC Oleksandriya;25;1994;2.1;1;0;0;1;3;2;0;1;0;0;0;0;7;8;12;40.0;Matches
122;Roman Bezjak\Roman-Bezjak;si SVN;MFDF;cy APOEL;30;1989;1.5;1;0;0;4;3;0;0;2;2;0;0;0;12;1;2;33.3;Matches
123;Roman Bezus\Roman-Bezus;ua UKR;MF;be Gent;28;1990;2.8;2;0;0;6;2;2;2;0;3;0;0;0;25;5;1;83.3;Matches
124;Pep Biel\Pep-Biel;es ESP;MF;dk FC Copenhagen;22;1996;3.9;0;0;0;6;2;1;23;5;3;0;0;0;36;4;3;57.1;Matches
125;Jaka Bijol\Jaka-Bijol;si SVN;MFFW;ru CSKA Moscow;20;1999;1.8;2;0;0;4;3;1;0;1;3;0;0;0;18;8;11;42.1;Matches
126;Cristiano Biraghi\Cristiano-Biraghi;it ITA;DF;it Inter;26;1992;1.9;0;0;0;1;0;1;13;1;1;0;0;0;13;1;1;50.0;Matches
127;Kristijan Bistrović\Kristijan-Bistrovic;hr CRO;MF;ru CSKA Moscow;21;1998;4.7;1;0;0;11;6;0;2;9;7;0;0;0;43;0;1;0.0;Matches
128;Dan Bitton\Dan-Bitton;il ISR;MFFW;bg Ludogorets;24;1995;0.4;0;0;0;2;1;0;6;1;1;0;0;0;8;0;0;;Matches
129;Nir Bitton\Nir-Bitton;il ISR;DFMF;sco Celtic;27;1991;1.5;1;0;0;2;2;0;0;1;4;0;0;0;26;10;7;58.8;Matches
130;Marco Bizot\Marco-Bizot;nl NED;GK;nl AZ Alkmaar;28;1991;8.0;1;0;0;0;2;0;0;0;1;0;0;0;43;0;0;;Matches
131;Andreas Bjelland\Andreas-Bjelland;dk DEN;DF;dk FC Copenhagen;31;1988;4.0;1;0;0;3;4;1;0;1;0;0;0;0;56;16;6;72.7;Matches
132;Miha Blažič\Miha-Blazic;si SVN;DF;hu Ferencváros;26;1993;6.0;0;0;0;5;2;1;2;9;2;0;0;0;41;7;5;58.3;Matches
133;Daley Blind\Daley-Blind;nl NED;DF;nl Ajax;29;1990;2.0;1;0;0;4;3;0;3;4;3;0;0;0;40;4;5;44.4;Matches
134;Myron Boadu\Myron-Boadu;nl NED;FW;nl AZ Alkmaar;18;2001;6.9;3;1;1;9;14;8;1;0;2;0;0;0;21;2;16;11.1;Matches
135;Arnaud Bodart\Arnaud-Bodart;be BEL;GK;be Standard Liège;21;1998;3.0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;;Matches
136;Sacha Boey\Sacha-Boey;fr FRA;DF;fr Rennes;18;2000;2.0;0;0;0;3;1;0;3;4;5;0;0;0;27;4;3;57.1;Matches
137;Merveille Bokadi\Merveille-Bokadi;cd COD;DF;be Standard Liège;27;1992;1.0;0;0;0;0;0;0;0;0;1;0;0;0;6;1;3;25.0;Matches
138;Yannick Bolasie\Yannick-Bolasie;cd COD;FW;pt Sporting CP;30;1989;6.5;1;0;0;11;9;1;14;2;5;1;0;0;36;14;22;38.9;Matches
139;Serhiy Bolbat\Serhiy-Bolbat;ua UKR;DF;ua Shakhtar;26;1993;1.0;0;0;0;0;1;0;0;0;1;0;0;0;6;0;0;;Matches
140;Franck Boli\Franck-Boli;ci CIV;FW;hu Ferencváros;25;1993;4.4;1;0;0;8;8;4;1;1;1;1;0;0;23;2;13;13.3;Matches
141;Kévin Boli\Kevin-Boli;fr FRA;DF;ro CFR Cluj;28;1991;5.7;1;0;0;3;4;1;0;11;4;0;1;0;38;16;10;61.5;Matches
142;Boli Bolingoli-Mbombo\Boli-Bolingoli-Mbombo;be BEL;DF;sco Celtic;24;1995;3.7;0;0;0;4;2;2;7;7;3;0;0;0;32;3;9;25.0;Matches
143;Aleksandar Boljević\Aleksandar-Boljevic;me MNE;FWMF;be Standard Liège;23;1995;1.7;0;0;0;0;4;2;3;3;1;0;0;0;11;2;5;28.6;Matches
144;Willy Boly\Willy-Boly;fr FRA;DF;eng Wolves;28;1991;6.0;1;0;0;8;1;0;1;9;3;0;0;0;60;19;7;73.1;Matches
145;Léo Bonatini\Leo-Bonatini;br BRA;FW;pt Vitória;25;1994;1.8;0;0;0;3;1;0;1;0;2;0;0;0;6;3;6;33.3;Matches
146;Valeriy Bondarenko\Valeriy-Bondarenko;ua UKR;DF;pt Vitória;25;1994;1.0;1;0;0;1;2;0;0;2;0;0;0;0;15;2;1;66.7;Matches
147;Pépé Bonet\Pepe-Bonet;fr FRA;GK;fr Rennes;16;2003;0.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Matches
148;Mihai Bordeianu\Mihai-Bordeianu;ro ROU;MF;ro CFR Cluj;27;1991;7.4;2;1;1;21;7;0;18;11;12;0;0;0;125;5;4;55.6;Matches
149;Cristian Borja\Cristian-Borja;co COL;DF;pt Sporting CP;26;1993;2.2;0;0;0;2;4;0;3;7;3;0;0;0;25;0;1;0.0;Matches
150;Olivier Boscagli\Olivier-Boscagli;fr FRA;DF;nl PSV Eindhoven;21;1997;2.0;0;0;0;0;6;0;5;1;1;0;0;0;22;3;1;75.0;Matches
151;Erik Botheim\Erik-Botheim;no NOR;FW;no Rosenborg;19;2000;0.4;0;0;0;0;0;0;0;1;0;0;0;0;4;1;7;12.5;Matches
152;Endre Botka\Endre-Botka;hu HUN;DF;hu Ferencváros;24;1994;3.7;2;0;0;5;1;0;3;6;7;0;0;0;16;8;2;80.0;Matches
153;Mattia Bottani\Mattia-Bottani;ch SUI;FWMF;ch Lugano;28;1991;3.1;0;0;0;4;9;3;4;0;2;0;0;0;21;2;11;15.4;Matches
154;Eric Botteghin\Eric-Botteghin;br BRA;DF;nl Feyenoord;31;1987;4.6;2;0;0;9;0;1;0;10;6;0;0;0;60;17;7;70.8;Matches
155;Denis Bouanga\Denis-Bouanga;ga GAB;MFDF;fr Saint-Étienne;24;1994;2.7;0;0;0;7;3;1;16;2;2;0;0;0;24;8;2;80.0;Matches
156;Andreas Bouchalakis\Andreas-Bouchalakis;gr GRE;MF;gr Olympiacos;26;1993;3.1;1;0;0;2;3;0;2;7;2;0;0;0;21;1;2;33.3;Matches
157;Mohamed Bouchouari\Mohamed-Bouchouari;be BEL;DF;lu F91 Dudelange;18;2000;5.7;0;0;0;9;6;0;17;4;7;0;0;0;48;3;4;42.9;Matches
