"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
76;Felipe Caicedo\Felipe-Caicedo;ec ECU;FW;Lazio;30;1988;21;11;867;8;2;0;1;4;0;0.83;0.21;1.04;0.83;1.04;5.3;4.6;2.3;0.55;0.24;0.80;0.47;0.72;Matches
77;Davide Calabria\Davide-Calabria;it ITA;DF;Milan;22;1996;15;11;1092;0;1;0;0;4;2;0.00;0.08;0.08;0.00;0.08;0.2;0.2;0.5;0.02;0.04;0.05;0.02;0.05;Matches
78;Mattia Caldara\Mattia-Caldara;it ITA;DF;Atalanta;25;1994;2;2;156;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.02;0.00;0.02;0.02;0.02;Matches
79;Marco Calderoni\Marco-Calderoni;it ITA;DF;Lecce;30;1989;19;18;1605;3;1;0;0;6;0;0.17;0.06;0.22;0.17;0.22;0.6;0.6;1.4;0.04;0.08;0.12;0.04;0.12;Matches
80;Hakan Çalhanoğlu\Hakan-Calhanoglu;tr TUR;MFFW;Milan;25;1994;22;22;1840;3;1;0;0;6;0;0.15;0.05;0.20;0.15;0.20;3.6;3.6;2.6;0.18;0.13;0.31;0.18;0.31;Matches
81;José Callejón\Jose-Callejon;es ESP;MFFW;Napoli;32;1987;23;19;1653;2;6;0;0;2;0;0.11;0.33;0.44;0.11;0.44;2.9;2.9;5.5;0.16;0.30;0.46;0.16;0.46;Matches
82;Emre Can\Emre-Can;de GER;MF;Juventus;25;1994;8;2;280;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;1.3;1.3;0.5;0.42;0.17;0.59;0.42;0.59;Matches
83;Antonio Candreva\Antonio-Candreva;it ITA;DFMF;Inter;32;1987;19;15;1266;2;5;0;0;5;0;0.14;0.36;0.50;0.14;0.50;0.7;0.7;3.6;0.05;0.26;0.31;0.05;0.31;Matches
84;Gianluca Caprari\Gianluca-Caprari;it ITA;FWMF;Parma;26;1993;2;1;100;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.0;0.15;0.00;0.15;0.15;0.15;Matches
85;Gianluca Caprari\Gianluca-Caprari;it ITA;FWMF;Sampdoria;26;1993;18;5;657;3;0;0;0;4;1;0.41;0.00;0.41;0.41;0.41;1.7;1.7;0.4;0.23;0.06;0.29;0.23;0.29;Matches
86;Francesco Caputo\Francesco-Caputo;it ITA;FW;Sassuolo;31;1987;22;21;1836;11;4;1;1;2;0;0.54;0.20;0.74;0.49;0.69;8.6;7.8;2.4;0.42;0.12;0.54;0.38;0.50;Matches
87;Francesco Cassata\Francesco-Cassata;it ITA;MF;Genoa;22;1997;16;11;982;1;0;0;0;9;1;0.09;0.00;0.09;0.09;0.09;0.5;0.5;0.9;0.04;0.09;0.13;0.04;0.13;Matches
88;Timothy Castagne\Timothy-Castagne;be BEL;DF;Atalanta;23;1995;14;11;1003;1;1;0;0;3;0;0.09;0.09;0.18;0.09;0.18;1.5;1.5;1.4;0.13;0.13;0.26;0.13;0.26;Matches
89;Samu Castillejo\Samu-Castillejo;es ESP;MFFW;Milan;24;1995;16;11;872;0;2;0;0;2;1;0.00;0.21;0.21;0.00;0.21;2.1;2.1;2.6;0.22;0.27;0.49;0.22;0.49;Matches
90;Lucas Castro\Lucas-Castro;ar ARG;MF;SPAL;30;1989;4;4;281;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.5;0.5;0.3;0.15;0.09;0.24;0.15;0.24;Matches
91;Lucas Castro\Lucas-Castro;ar ARG;MF;Cagliari;30;1989;15;6;601;2;0;0;0;2;0;0.30;0.00;0.30;0.30;0.30;0.9;0.9;0.4;0.13;0.07;0.19;0.13;0.19;Matches
92;Gaetano Castrovilli\Gaetano-Castrovilli;it ITA;MF;Fiorentina;22;1997;23;23;1933;3;2;0;0;8;0;0.14;0.09;0.23;0.14;0.23;2.0;2.0;2.2;0.09;0.10;0.19;0.09;0.19;Matches
