"id";"name";"nation";"position";"team";"age";"born";"MP";"Min";"Mn/MP";"Min%";"90s";"Starts";"Mn/Start";"Subs";"Mn/Sub";"unSub";"PPM";"onG";"onGA";"+/-";"+/-90";"On-Off";"onxG";"onxGA";"xG+/-";"xG+/-90";"On-Off-ex";"Matches"
574;Vitolo\Vitolo;es ESP;MFFW;Atlético Madrid;29;1989;20;1025;51;43.8;11.4;10;74;10;28;2;1.70;11;10;+1;+0.09;-0.53;12.4;8.8;+3.7;+0.32;-0.39;Matches
575;Daniel Vivian\Daniel-Vivian;es ESP;MF;Athletic Bilbao;20;1999;0;;;;;0;;0;;2;;;;;;;;;;;;Matches
576;Šime Vrsaljko\Sime-Vrsaljko;hr CRO;DF;Atlético Madrid;27;1992;5;363;73;15.5;4.0;4;82;1;37;1;1.60;2;3;-1;-0.25;-0.75;2.5;3.5;-1.1;-0.26;-0.95;Matches
577;Nikola Vukčević\Nikola-Vukcevic;me MNE;MF;Levante;27;1991;21;1004;48;42.9;11.2;12;75;9;12;1;1.29;14;21;-7;-0.63;-0.56;13.6;20.9;-7.4;-0.66;-0.02;Matches
578;Moussa Wagué\Moussa-Wague;sn SEN;DF;Barcelona;20;1998;1;90;90;3.8;1.0;1;90;0;;4;3.00;2;1;+1;+1.00;-0.20;1.7;0.4;+1.3;+1.35;+0.58;Matches
579;Wakaso\Wakaso;gh GHA;MF;Alavés;29;1990;16;1287;80;53.0;14.3;15;84;1;30;0;1.00;13;24;-11;-0.77;-1.01;13.6;22.6;-9.0;-0.63;-0.79;Matches
580;Daniel Wass\Daniel-Wass;dk DEN;DFMF;Valencia;30;1989;25;2167;87;89.2;24.1;24;90;1;7;1;1.68;34;30;+4;+0.17;+1.88;28.8;33.2;-4.3;-0.18;+1.66;Matches
581;Iñaki Williams\Inaki-Williams;es ESP;FW;Athletic Bilbao;25;1994;26;2115;81;90.4;23.5;24;85;2;37;0;1.31;22;21;+1;+0.04;-0.76;26.2;24.7;+1.5;+0.06;+0.23;Matches
582;Yoel\Yoel;es ESP;GK;Eibar;30;1988;1;90;90;4.0;1.0;1;90;0;;24;3.00;3;0;+3;+3.00;+3.62;2.5;0.8;+1.6;+1.63;+2.20;Matches
583;Okay Yokuşlu\Okay-Yokuslu;tr TUR;MF;Celta Vigo;25;1994;15;1274;85;54.4;14.2;15;85;0;;6;1.07;13;17;-4;-0.28;+0.39;14.1;18.0;-4.0;-0.28;-0.21;Matches
