id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OGMatches
135;Ferdy Druijf\Ferdy-Druijf;nl NED;FW;AZ Alkmaar;21;1998;2.3;0;0;0;2;2;1;0;1;1;;;0;Matches
136;Deroy Duarte\Deroy-Duarte;nl NED;FW;Sparta R'dam;20;1999;4.4;2;0;0;6;2;0;7;9;12;;;0;Matches
137;Laros Duarte\Laros-Duarte;nl NED;MF;Sparta R'dam;22;1997;6.9;1;0;0;6;7;0;15;7;12;;;0;Matches
138;Mark Duffy\Mark-Duffy;eng ENG;MF;ADO Den Haag;33;1985;1.8;2;0;0;2;2;0;5;2;0;;;0;Matches
139;Mike van Duinen\Mike-van-Duinen;nl NED;FW;Zwolle;27;1991;8.8;0;0;0;16;11;2;12;3;5;;;0;Matches
140;Denzel Dumfries\Denzel-Dumfries;nl NED;DF;PSV Eindhoven;23;1996;23.9;6;0;0;48;38;5;33;28;26;;;0;Matches
141;Carel Eiting\Carel-Eiting;nl NED;MF;Ajax;21;1998;4.0;1;0;0;1;1;0;13;2;5;;;0;Matches
142;Chidera Ejuke\Chidera-Ejuke;ng NGA;FW;Heerenveen;21;1998;21.9;0;0;0;6;32;7;12;16;13;;;0;Matches
143;Jurgen Ekkelenkamp\Jurgen-Ekkelenkamp;nl NED;MF;Ajax;19;2000;1.5;0;0;0;1;2;0;1;0;0;;;0;Matches
144;Stanley Elbers\Stanley-Elbers;nl NED;FW;Zwolle;27;1992;0.8;0;0;0;1;0;0;2;0;1;;;0;Matches
145;Stanley Elbers\Stanley-Elbers;nl NED;FW;RKC Waalwijk;27;1992;7.5;4;0;0;8;12;1;11;4;4;;;0;Matches
146;Urby Emanuelson\Urby-Emanuelson;nl NED;DFMF;Utrecht;33;1986;6.4;0;0;0;2;4;0;22;6;9;;;0;Matches
147;Runar Espejord\Runar-Espejord;no NOR;FW;Heerenveen;23;1996;1.3;0;0;0;2;0;0;0;1;0;;;0;Matches
148;Javier Espinosa\Javier-Espinosa;es ESP;MFFW;Twente;26;1992;16.4;5;0;0;19;22;0;29;20;10;;;0;Matches
149;Clint Essers\Clint-Essers;nl NED;DF;Fortuna Sittard;22;1997;12.5;2;0;0;15;8;0;11;22;21;;;0;Matches
150;Håkon Evjen\Hakon-Evjen;no NOR;MF;AZ Alkmaar;19;2000;0.9;0;0;0;2;1;0;2;5;0;;;0;Matches
151;Milan van Ewijk\Milan-van-Ewijk;nl NED;DF;ADO Den Haag;;;11.2;0;0;0;7;22;0;19;16;12;;;0;Matches
152;Hicham Faik\Hicham-Faik;nl NED;MF;Heerenveen;27;1992;23.7;3;0;0;23;25;2;79;32;35;;;0;Matches
153;Erik Falkenburg\Erik-Falkenburg;nl NED;FWMF;ADO Den Haag;31;1988;10.5;1;0;0;7;12;0;6;4;1;;;0;Matches
154;Lassana Faye\Lassana-Faye;nl NED;DF;Sparta R'dam;21;1998;21.4;3;0;0;16;9;1;27;19;13;;;0;Matches
155;Leroy Fer\Leroy-Fer;nl NED;MF;Feyenoord;29;1990;20.9;4;0;0;34;22;0;0;19;22;;;0;Matches
156;Leandro Fernandes\Leandro-Fernandes;nl NED;MF;Fortuna Sittard;19;1999;1.3;0;0;0;4;1;0;0;1;3;;;0;Matches
157;Zian Flemming\Zian-Flemming;nl NED;MF;Zwolle;20;1998;2.4;1;0;0;7;3;0;0;1;2;;;0;Matches
158;Sherel Floranus\Sherel-Floranus;nl NED;DF;Heerenveen;20;1998;23.8;6;0;0;49;19;1;24;37;31;;;0;Matches
159;Navarone Foor\Navarone-Foor;nl NED;MF;Vitesse;27;1992;10.6;1;0;0;12;11;0;26;24;21;;;0;Matches
160;Jeffry Fortes\Jeffry-Fortes;cv CPV;DF;Sparta R'dam;30;1989;4.1;1;0;0;4;3;0;11;2;2;;;0;Matches
161;Lassina Franck Traoré\Lassina-Franck-Traore;bf BFA;FW;Ajax;18;2001;2.9;1;0;0;6;4;3;1;1;0;;;0;Matches
162;Kerim Frei\Kerim-Frei;tr TUR;MFFW;Emmen;25;1993;3.5;0;0;0;2;14;3;6;1;3;;;0;Matches
163;Juriën Gaari\Jurien-Gaari;cw CUW;DF;RKC Waalwijk;25;1993;16.5;3;1;0;19;8;1;40;18;24;;;0;Matches
164;Cody Gakpo\Cody-Gakpo;nl NED;FWMF;PSV Eindhoven;20;1999;16.2;5;0;0;12;14;5;74;10;14;;;0;Matches
165;Lutsharel Geertruida\Lutsharel-Geertruida;nl NED;DF;Feyenoord;19;2000;11.6;2;0;0;16;16;1;19;25;10;;;0;Matches
166;Roy Gelmi\Roy-Gelmi;ch SUI;DF;VVV-Venlo;24;1995;1.0;0;0;0;0;0;0;0;3;2;;;0;Matches
167;Reza Ghoochannejad\Reza-Ghoochannejad;ir IRN;FW;Zwolle;31;1987;7.9;0;1;0;14;12;15;3;1;0;;;0;Matches
168;Paul Gladon\Paul-Gladon;nl NED;FW;Willem II;27;1992;2.0;2;0;0;8;5;4;1;0;0;;;0;Matches
169;Hilary Gong\Hilary-Gong;ng NGA;FW;Vitesse;20;1998;0.3;0;0;0;0;1;0;0;0;1;;;0;Matches
170;John Goossens\John-Goossens;nl NED;MFFW;ADO Den Haag;31;1988;20.4;4;0;0;21;14;0;128;8;23;;;1;Matches
171;Thijmen Goppel\Thijmen-Goppel;nl NED;FW;ADO Den Haag;22;1997;2.5;0;0;0;0;2;1;20;3;2;;;0;Matches
172;Ferhat Görgülü\Ferhat-Gorgulu;nl NED;DF;Emmen;27;1991;2.8;2;0;0;5;3;0;0;1;2;;;0;Matches
173;Ryan Gravenberch\Ryan-Gravenberch;nl NED;MF;Ajax;17;2002;5.1;1;0;0;11;2;0;6;2;6;;;0;Matches
174;Jay-Roy Grot\Jay-Roy-Grot;nl NED;MFFW;Vitesse;21;1998;8.9;1;0;0;15;11;3;12;12;9;;;0;Matches
175;Gabriel Gudmundsson\Gabriel-Gudmundsson;se SWE;MF;Groningen;20;1999;4.5;2;0;0;14;8;0;14;3;1;;;0;Matches
176;Simon Gustafson\Simon-Gustafson;se SWE;MFFW;Utrecht;24;1995;21.8;5;0;0;17;35;1;50;15;12;;;0;Matches
177;Erick Gutiérrez\Erick-Gutierrez;mx MEX;MF;PSV Eindhoven;24;1995;9.2;2;0;0;15;17;1;14;20;10;;;0;Matches
178;Leon Guwara\Leon-Guwara;de GER;DF;Utrecht;23;1996;12.7;0;2;0;5;12;2;27;14;13;;;0;Matches
179;Albert Guðmundsson\Albert-Gudmundsson;is ISL;FW;AZ Alkmaar;22;1997;1.3;0;0;0;2;7;2;5;0;0;;;0;Matches
180;Warner Hahn\Warner-Hahn;nl NED;GK;Heerenveen;27;1992;20.0;0;0;0;1;0;0;0;1;0;;;0;Matches
181;Rami Hajal\Rami-Hajal;se SWE;MF;Heerenveen;17;2001;1.0;0;0;0;0;3;0;0;1;1;;;0;Matches
182;Alen Halilović\Alen-Halilovic;hr CRO;FWMF;Heerenveen;23;1996;4.7;0;0;0;2;7;1;23;4;2;;;0;Matches
183;Gustavo Hamer\Gustavo-Hamer;nl NED;DFMF;Zwolle;22;1997;24.2;8;0;0;53;15;2;113;40;54;;;0;Matches
184;Mohamed El Hankouri\Mohamed-El-Hankouri;nl NED;MF;Groningen;22;1997;11.2;2;0;0;19;16;0;38;20;9;;;0;Matches
185;Sontje Hansen\Sontje-Hansen;nl NED;FW;Ajax;19;2000;0.1;1;0;0;1;0;0;0;0;0;;;0;Matches
186;Emil Hansson\Emil-Hansson;se SWE;FW;RKC Waalwijk;21;1998;6.0;0;0;0;0;1;0;18;5;1;;;0;Matches
187;Ridgeciano Haps\Ridgeciano-Haps;nl NED;DF;Feyenoord;26;1993;14.1;1;0;0;17;45;0;18;33;24;;;0;Matches
