"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Ast";"xA";"A-xA";"KP";"Cmp";"Att";"CmpPER";"shortCmp";"shortAtt";"shortCmpPER";"mediumCmp";"mediumAtt";"mediumCmpPER";"longCmp";"longAtt";"longCmpPER";"Left";"Right";"FK";"TB";"CK";"TI";"1/3";"PPA";"CrsPA";"Matches"
517;Charles Traore\Charles-Traore;ml MLI;DF;Nantes;27;1992;18.4;1;0.2;+0.8;6;750;1014;74.0;7;31;22.6;615;742;82.9;128;241;53.1;678;76;21;1;0;200;76;13;3;Matches
518;Hamari Traoré\Hamari-Traore;ml MLI;DF;Rennes;27;1992;25.8;4;2.0;+2.0;31;1187;1473;80.6;11;50;22.0;933;1061;87.9;243;362;67.1;130;991;18;3;2;278;77;21;7;Matches
519;Ismaël Traoré\Ismael-Traore;ci CIV;DF;Angers;32;1986;21.8;0;0.1;-0.1;3;839;982;85.4;9;19;47.4;557;602;92.5;273;361;75.6;98;843;30;2;0;3;40;4;0;Matches
520;Miguel Trauco\Miguel-Trauco;pe PER;DF;Saint-Étienne;26;1992;16.4;2;0.9;+1.1;10;646;841;76.8;10;39;25.6;523;600;87.2;113;202;55.9;600;47;12;1;5;161;47;13;4;Matches
521;Matthieu Udol\Matthieu-Udol;fr FRA;DF;Metz;23;1996;11.2;1;0.7;+0.3;6;386;518;74.5;6;17;35.3;310;352;88.1;70;149;47.0;336;57;13;1;0;101;24;9;4;Matches
522;Hwang Ui-jo\Hwang-Ui-jo;kr KOR;FWMF;Bordeaux;26;1992;18.0;2;0.9;+1.1;8;348;422;82.5;2;21;9.5;310;350;88.6;36;51;70.6;42;352;1;0;1;0;23;9;2;Matches
523;William Vainqueur\William-Vainqueur;fr FRA;MF;Toulouse;30;1988;19.1;0;0.5;-0.5;8;896;992;90.3;23;37;62.2;729;774;94.2;144;181;79.6;99;854;17;0;2;1;50;4;1;Matches
524;Pierrick Valdivia\Pierrick-Valdivia;fr FRA;MF;Nîmes;31;1988;0.8;0;0.0;0.0;0;29;33;87.9;0;0;;19;21;90.5;10;12;83.3;29;2;0;0;0;0;6;0;0;Matches
525;Antoine Valerio\Antoine-Valerio;fr FRA;MF;Nîmes;19;1999;0.9;0;0.0;0.0;0;25;35;71.4;0;2;0.0;16;20;80.0;9;13;69.2;24;5;1;0;1;1;7;0;0;Matches
526;Luca Valls\Luca-Valls;fr FRA;FW;Nîmes;20;1998;0.1;0;0.0;0.0;0;2;4;50.0;0;0;;2;3;66.7;0;1;0.0;0;2;0;0;0;0;0;0;0;Matches
527;Theo Valls\Theo-Valls;fr FRA;MF;Nîmes;23;1995;18.1;1;1.9;-0.9;23;532;687;77.4;13;40;32.5;382;453;84.3;137;194;70.6;562;81;28;1;18;2;63;10;3;Matches
528;Thibaut Vargas\Thibaut-Vargas;fr FRA;DF;Montpellier;19;2000;1.0;0;0.0;0.0;1;22;36;61.1;0;0;;17;28;60.7;5;8;62.5;4;25;2;0;0;4;0;0;0;Matches
529;Marco Verratti\Marco-Verratti;it ITA;MF;Paris S-G;26;1992;16.5;5;3.1;+1.9;26;1608;1733;92.8;40;56;71.4;1303;1360;95.8;265;317;83.6;146;1534;48;11;1;18;162;43;5;Matches
530;Clément Vidal\Clement-Vidal;fr FRA;DF;Montpellier;19;2000;1.0;0;0.0;0.0;0;37;45;82.2;1;1;100.0;24;28;85.7;12;16;75.0;2;38;2;0;0;0;1;0;0;Matches
531;Molla Wagué\Molla-Wague;ml MLI;DF;Nantes;28;1991;7.6;0;0.1;-0.1;1;259;304;85.2;5;6;83.3;183;206;88.8;71;92;77.2;37;239;8;0;0;0;6;1;1;Matches
