"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
139;Mike van Duinen\Mike-van-Duinen;nl NED;FW;Zwolle;27;1991;12;9;791;2;0;0;0;0;0;0.23;0.00;0.23;0.23;0.23;Matches
140;Denzel Dumfries\Denzel-Dumfries;nl NED;DF;PSV Eindhoven;23;1996;24;24;2152;6;3;0;0;6;0;0.25;0.13;0.38;0.25;0.38;Matches
141;Carel Eiting\Carel-Eiting;nl NED;MF;Ajax;21;1998;6;3;360;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
142;Chidera Ejuke\Chidera-Ejuke;ng NGA;FW;Heerenveen;21;1998;24;23;1972;9;4;0;0;0;0;0.41;0.18;0.59;0.41;0.59;Matches
143;Jurgen Ekkelenkamp\Jurgen-Ekkelenkamp;nl NED;MF;Ajax;19;2000;4;1;131;1;1;0;0;0;0;0.69;0.69;1.37;0.69;1.37;Matches
144;Stanley Elbers\Stanley-Elbers;nl NED;FW;Zwolle;27;1992;2;1;69;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
145;Stanley Elbers\Stanley-Elbers;nl NED;FW;RKC Waalwijk;27;1992;11;8;672;1;1;0;0;4;0;0.13;0.13;0.27;0.13;0.27;Matches
146;Urby Emanuelson\Urby-Emanuelson;nl NED;DFMF;Utrecht;33;1986;13;5;573;0;4;0;0;0;0;0.00;0.63;0.63;0.00;0.63;Matches
147;Runar Espejord\Runar-Espejord;no NOR;FW;Heerenveen;23;1996;6;0;119;0;2;0;0;0;0;0.00;1.51;1.51;0.00;1.51;Matches
148;Javier Espinosa\Javier-Espinosa;es ESP;MFFW;Twente;26;1992;19;18;1476;1;4;0;0;5;0;0.06;0.24;0.30;0.06;0.30;Matches
149;Clint Essers\Clint-Essers;nl NED;DF;Fortuna Sittard;22;1997;18;12;1127;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
150;Håkon Evjen\Hakon-Evjen;no NOR;MF;AZ Alkmaar;19;2000;2;1;83;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
151;Milan van Ewijk\Milan-van-Ewijk;nl NED;DF;ADO Den Haag;;;12;12;1010;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
152;Hicham Faik\Hicham-Faik;nl NED;MF;Heerenveen;27;1992;25;25;2132;3;1;2;3;3;0;0.13;0.04;0.17;0.04;0.08;Matches
153;Erik Falkenburg\Erik-Falkenburg;nl NED;FWMF;ADO Den Haag;31;1988;16;10;947;1;0;0;0;1;0;0.10;0.00;0.10;0.10;0.10;Matches
154;Lassana Faye\Lassana-Faye;nl NED;DF;Sparta R'dam;21;1998;22;22;1929;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;Matches
