id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OG;Succ;Att;Succ%;#Pl;Megs;Tkl;Cont;Tkl%;Past;Matches
35;Ashley Barnes\Ashley-Barnes;at AUT;FW;Burnley;29;1989;15.1;4;0;0;35;40;13;5;4;6;1;0;0;11;17;64.7;13;0;6;17;35.3;11;Matches
36;Harvey Barnes\Harvey-Barnes;eng ENG;MF;Leicester City;21;1997;18.1;0;0;0;17;21;4;31;8;4;1;0;0;29;64;45.3;34;3;17;35;48.6;18;Matches
37;Chris Basham\Chris-Basham;eng ENG;DF;Sheffield Utd;31;1988;26.1;4;0;0;22;25;5;29;35;56;0;1;0;18;21;85.7;18;0;59;94;62.8;35;Matches
38;Borja Bastón\Borja-Baston;es ESP;MFFW;Aston Villa;26;1992;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;2;0.0;2;Matches
39;Michy Batshuayi\Michy-Batshuayi;be BEL;FW;Chelsea;25;1993;2.5;0;0;0;4;4;7;0;1;0;0;0;0;4;8;50.0;6;0;2;4;50.0;2;Matches
40;Jan Bednarek\Jan-Bednarek;pl POL;DF;Southampton;23;1996;26.0;3;0;0;26;10;0;1;31;56;0;1;0;2;2;100.0;2;0;55;89;61.8;34;Matches
41;Héctor Bellerín\Hector-Bellerin;es ESP;DF;Arsenal;24;1995;6.9;2;0;0;8;2;0;20;10;8;0;0;0;6;15;40.0;9;2;14;30;46.7;16;Matches
42;Ryan Bennett\Ryan-Bennett;eng ENG;DF;Wolves;29;1990;6.7;2;0;0;4;1;0;4;3;9;0;0;0;0;0;;0;0;4;9;44.4;5;Matches
43;Nabil Bentaleb\Nabil-Bentaleb;dz ALG;MF;Newcastle Utd;24;1994;3.0;2;0;0;7;2;0;0;6;10;0;0;0;1;2;50.0;1;0;8;12;66.7;4;Matches
44;Christian Benteke\Christian-Benteke;be BEL;FW;Crystal Palace;28;1990;9.2;3;0;0;16;9;7;4;5;4;0;0;0;11;19;57.9;12;0;7;12;58.3;5;Matches
45;Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson;is ISL;MF;Burnley;28;1990;4.5;0;0;0;3;2;0;25;3;5;0;0;0;4;6;66.7;4;1;4;8;50.0;4;Matches
46;Sander Berge\Sander-Berge;no NOR;MF;Sheffield Utd;21;1998;2.3;0;0;0;3;0;0;5;4;3;0;0;0;3;4;75.0;3;0;7;9;77.8;2;Matches
47;Steven Bergwijn\Steven-Bergwijn;nl NED;FW;Tottenham;21;1997;3.6;0;0;0;3;4;0;2;2;2;1;0;0;4;13;30.8;5;0;3;6;50.0;3;Matches
48;Bernard\Bernard;br BRA;MFFW;Everton;26;1992;10.9;2;0;0;15;8;0;32;11;10;0;0;0;29;49;59.2;33;1;21;47;44.7;26;Matches
49;Bernardo\Bernardo;br BRA;DF;Brighton;24;1995;6.0;1;0;0;3;1;1;14;14;4;0;0;0;9;11;81.8;10;0;26;32;81.3;6;Matches
50;Ryan Bertrand\Ryan-Bertrand;eng ENG;DF;Southampton;29;1989;21.5;3;1;0;19;24;1;88;23;24;0;0;0;6;20;30.0;7;1;36;63;57.1;27;Matches
51;Muhamed Bešić\Muhamed-Besic;ba BIH;MF;Sheffield Utd;26;1992;2.7;2;0;0;6;2;0;1;6;2;0;0;0;9;10;90.0;9;0;9;13;69.2;4;Matches
52;Philip Billing\Philip-Billing;dk DEN;MF;Bournemouth;23;1996;23.1;7;0;0;33;17;1;12;41;62;0;0;0;19;34;55.9;21;0;67;109;61.5;42;Matches
53;Yves Bissouma\Yves-Bissouma;ml MLI;MF;Brighton;22;1996;6.4;2;0;0;14;7;0;5;12;6;0;0;0;12;25;48.0;15;1;21;27;77.8;6;Matches
54;Willy Boly\Willy-Boly;fr FRA;DF;Wolves;28;1991;12.0;3;1;1;14;4;1;2;22;25;0;0;0;6;7;85.7;6;0;35;52;67.3;17;Matches
55;Gaëtan Bong\Gaetan-Bong;cm CMR;MFDF;Brighton;31;1988;0.6;0;0;0;0;1;0;5;0;0;0;0;0;0;1;0.0;0;0;0;0;;0;Matches
56;Sofiane Boufal\Sofiane-Boufal;ma MAR;MFFW;Southampton;25;1993;7.5;2;0;0;23;19;2;24;9;2;0;0;0;48;89;53.9;54;3;17;25;68.0;8;Matches
57;Jarrod Bowen\Jarrod-Bowen;eng ENG;FW;West Ham;22;1996;1.0;0;0;0;1;2;0;2;3;1;0;0;0;3;7;42.9;3;1;4;6;66.7;2;Matches
58;Robbie Brady\Robbie-Brady;ie IRL;MF;Burnley;27;1992;4.4;1;0;0;7;4;0;10;4;3;0;0;0;4;10;40.0;5;0;8;14;57.1;6;Matches
59;Claudio Bravo\Claudio-Bravo;cl CHI;GK;Manchester City;36;1983;3.8;0;0;0;0;0;0;0;0;0;0;0;0;1;1;100.0;1;0;0;0;;0;Matches
60;Josh Brownhill\Josh-Brownhill;eng ENG;MF;Burnley;23;1995;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;Matches
