id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost;Won%;Matches
115;Thierry Correia\Thierry-Correia;pt POR;DF;Valencia;20;1999;2.0;0;0;0;3;5;0;1;2;3;0;0;0;16;0;3;0.0;Matches
116;Diego Costa\Diego-Costa;es ESP;FW;Atlético Madrid;30;1988;9.0;2;0;0;15;12;11;3;1;3;0;0;0;28;25;48;34.2;Matches
117;Jaume Costa\Jaume-Costa;es ESP;DF;Valencia;31;1988;10.7;1;0;0;14;16;1;20;15;18;0;0;0;67;10;11;47.6;Matches
118;David Costas\David-Costas;es ESP;DF;Celta Vigo;24;1995;3.7;1;0;0;5;2;0;0;6;4;0;0;0;38;8;7;53.3;Matches
119;Thibaut Courtois\Thibaut-Courtois;be BEL;GK;Real Madrid;27;1992;24.0;0;0;0;0;2;0;0;0;0;0;0;0;115;1;0;100.0;Matches
120;Sebastián Cristóforo\Sebastian-Cristoforo;uy URU;MF;Eibar;25;1993;3.5;0;0;0;7;9;1;3;3;9;0;0;0;40;2;3;40.0;Matches
121;Cucho\Cucho;co COL;FWMF;Mallorca;20;1999;8.9;3;0;0;10;18;3;11;3;6;0;1;0;40;24;41;36.9;Matches
122;Marc Cucurella\Marc-Cucurella;es ESP;MFDF;Getafe;21;1998;25.8;6;0;0;52;46;2;82;17;48;1;0;0;277;33;43;43.4;Matches
123;Iván Cuéllar\Ivan-Cuellar;es ESP;GK;Leganés;35;1984;16.0;3;1;1;0;2;0;0;1;0;0;0;0;100;0;0;;Matches
124;Moanes Dabour\Moanes-Dabour;il ISR;FW;Sevilla;27;1992;0.3;0;0;0;0;0;0;1;0;1;0;0;0;3;1;1;50.0;Matches
125;Sergi Darder\Sergi-Darder;es ESP;MFFW;Espanyol;25;1993;23.5;2;0;0;23;23;1;51;17;21;0;0;0;157;24;15;61.5;Matches
126;Ousmane Dembélé\Ousmane-Dembele;fr FRA;FW;Barcelona;22;1997;4.0;1;1;0;1;5;4;20;0;0;0;0;0;21;1;2;33.3;Matches
127;Deyverson\Deyverson;br BRA;FW;Getafe;28;1991;1.6;2;0;0;5;0;0;2;0;0;0;0;0;12;9;8;52.9;Matches
128;Mouctar Diakhaby\Mouctar-Diakhaby;fr FRA;DF;Valencia;22;1996;11.1;3;0;0;13;12;0;1;10;9;0;0;0;90;23;17;57.5;Matches
129;Brahim Díaz\Brahim-Diaz;es ESP;FWMF;Real Madrid;19;1999;0.3;0;0;0;0;4;0;0;0;0;0;0;0;2;0;1;0.0;Matches
130;Víctor Díaz\Victor-Diaz;es ESP;DF;Granada;31;1988;24.2;3;0;0;15;8;1;98;39;31;0;0;0;229;40;36;52.6;Matches
131;Papakouli Diop\Papakouli-Diop;sn SEN;MF;Eibar;33;1986;18.3;6;0;0;37;27;1;7;28;18;0;0;0;229;40;24;62.5;Matches
132;Djené\Djene;tg TOG;DF;Getafe;27;1991;25.0;3;0;0;36;19;1;7;22;19;0;1;0;337;75;47;61.5;Matches
133;Marko Dmitrović\Marko-Dmitrovic;rs SRB;GK;Eibar;27;1992;26.0;3;0;0;1;1;0;0;2;0;0;0;0;150;0;0;;Matches
134;Jaume Doménech\Jaume-Domenech;es ESP;GK;Valencia;28;1990;11.7;1;0;0;0;0;0;0;1;0;0;0;0;58;0;0;;Matches
135;Domingos Duarte\Domingos-Duarte;pt POR;DF;Granada;24;1995;25.5;6;0;0;27;16;4;0;24;10;0;3;0;206;57;31;64.8;Matches
136;Óscar Duarte\Oscar-Duarte;cr CRC;DF;Levante;30;1989;3.4;0;0;0;8;2;0;0;3;4;0;1;0;22;7;12;36.8;Matches
