"id";"name";"nation";"position";"team";"age";"born";"90s";"Ast";"xA";"A-xA";"KP";"Cmp";"Att";"CmpPER";"shortCmp";"shortAtt";"shortCmpPER";"mediumCmp";"mediumAtt";"mediumCmpPER";"longCmp";"longAtt";"longCmpPER";"Left";"Right";"FK";"TB";"CK";"TI";"1/3";"PPA";"CrsPA";"Matches"
286;Siem de Jong\Siem-de-Jong;nl NED;MF;nl Ajax;30;1989;0.1;0;0.0;0.0;0;12;14;85.7;2;2;100.0;7;9;77.8;3;3;100.0;1;11;1;0;0;0;2;0;0;Matches
287;Jorginho\Jorginho;it ITA;MF;eng Chelsea;27;1991;6.8;0;0.5;-0.5;3;404;444;91.0;9;10;90.0;304;321;94.7;91;113;80.5;19;402;9;0;0;0;49;6;0;Matches
288;Jota\Jota;pt POR;FW;pt Benfica;20;1999;0.7;0;;;;;;;;;;;;;;;;;;;;;;;;;Matches
289;Dušan Jovančić\Dusan-Jovancic;rs SRB;MF;rs Red Star;28;1990;2.0;0;0.1;-0.1;2;51;68;75.0;2;5;40.0;33;44;75.0;16;19;84.2;16;44;2;0;0;0;3;0;0;Matches
290;Luka Jović\Luka-Jovic;rs SRB;FW;es Real Madrid;21;1997;1.2;0;0.2;-0.2;1;29;37;78.4;1;2;50.0;21;28;75.0;7;7;100.0;16;17;0;0;0;0;0;1;0;Matches
291;Vinicius Júnior\Vinicius-Junior;br BRA;FW;es Real Madrid;19;2000;2.1;1;1.1;-0.1;5;70;87;80.5;1;3;33.3;65;71;91.5;4;13;30.8;9;75;0;0;0;0;4;3;1;Matches
292;Zlatko Junuzović\Zlatko-Junuzovic;at AUT;MF;at RB Salzburg;31;1987;5.6;3;1.4;+1.6;11;239;320;74.7;6;12;50.0;188;209;90.0;45;99;45.5;40;260;13;2;19;0;37;8;1;Matches
293;Damian Kądzior\Damian-Kadzior;pl POL;MF;hr Dinamo Zagreb;27;1992;0.7;1;0.1;+0.9;1;8;13;61.5;1;2;50.0;6;7;85.7;1;4;25.0;9;2;0;0;2;0;1;1;1;Matches
294;Kevin Kampl\Kevin-Kampl;si SVN;MF;de RB Leipzig;28;1990;1.5;0;0.0;0.0;2;137;146;93.8;4;5;80.0;119;123;96.7;14;18;77.8;7;136;4;0;0;0;20;2;0;Matches
295;Harry Kane\Harry-Kane;eng ENG;FW;eng Tottenham;26;1993;5.0;0;0.7;-0.7;3;79;108;73.1;2;10;20.0;60;70;85.7;17;28;60.7;15;80;0;2;0;2;10;9;2;Matches
