"id";"name";"nation";"position";"Squad";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"xG";"npxG";"npxG/Sh";"G-xG";"np:G-xG";"Matches"
548;Stefan Savić\Stefan-Savic;me MNE;DF;es Atletico Madrid;28;1991;2.0;1;0;0;2;1;0;50.0;1.00;0.50;0.50;1.00;0.6;0.6;0.32;+0.4;+0.4;Matches
549;Patrik Schick\Patrik-Schick;cz CZE;FW;de RB Leipzig;23;1996;1.1;0;0;0;7;2;0;28.6;6.49;1.86;0.00;0.00;1.1;1.1;0.15;-1.1;-1.1;Matches
550;Marcel Schmelzer\Marcel-Schmelzer;de GER;FW;de Dortmund;31;1988;0.0;0;0;0;0;0;0;;;;;;0.0;0.0;;0.0;0.0;Matches
551;Siebe Schrijvers\Siebe-Schrijvers;be BEL;MFFW;be Club Brugge;23;1996;0.8;0;0;0;2;0;0;0.0;2.37;0.00;0.00;;0.2;0.2;0.12;-0.2;-0.2;Matches
552;Nico Schulz\Nico-Schulz;de GER;DFMF;de Dortmund;26;1993;2.5;0;0;0;4;1;0;25.0;1.60;0.40;0.00;0.00;0.7;0.7;0.18;-0.7;-0.7;Matches
553;Perr Schuurs\Perr-Schuurs;nl NED;DF;nl Ajax;19;1999;1.2;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
554;Haris Seferović\Haris-Seferovic;ch SUI;FW;pt Benfica;27;1992;2.3;2;0;0;8;4;0;50.0;3.46;1.73;0.25;0.50;1.3;1.3;0.16;+0.7;+0.7;Matches
555;Nélson Semedo\Nelson-Semedo;pt POR;DF;es Barcelona;25;1993;5.0;0;0;0;4;1;0;25.0;0.80;0.20;0.00;0.00;0.4;0.4;0.10;-0.4;-0.4;Matches
556;Rúben Semedo\Ruben-Semedo;pt POR;DF;gr Olympiacos;25;1994;6.0;2;0;0;5;2;0;40.0;0.83;0.33;0.40;1.00;1.1;1.1;0.22;+0.9;+0.9;Matches
557;Stefano Sensi\Stefano-Sensi;it ITA;MF;it Inter;23;1995;2.1;0;0;0;5;1;1;20.0;2.36;0.47;0.00;0.00;0.3;0.3;0.07;-0.3;-0.3;Matches
558;Jean Seri\Jean-Seri;ci CIV;MF;tr Galatasaray;28;1991;5.3;0;0;0;2;1;1;50.0;0.38;0.19;0.00;0.00;0.1;0.1;0.06;-0.1;-0.1;Matches
559;Ryan Sessegnon\Ryan-Sessegnon;eng ENG;FW;eng Tottenham;19;2000;1.2;1;0;0;2;2;0;100.0;1.71;1.71;0.50;0.50;0.3;0.3;0.17;+0.7;+0.7;Matches
560;Petr Ševčík\Petr-Sevcik;cz CZE;MF;cz Slavia Prague;25;1994;5.0;0;0;0;6;1;0;16.7;1.20;0.20;0.00;0.00;0.2;0.2;0.03;-0.2;-0.2;Matches
561;Xherdan Shaqiri\Xherdan-Shaqiri;ch SUI;MF;eng Liverpool;27;1991;0.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
562;Oleg Shatov\Oleg-Shatov;ru RUS;MF;ru Zenit;29;1990;2.6;0;0;0;2;0;0;0.0;0.77;0.00;0.00;;0.2;0.2;0.11;-0.2;-0.2;Matches
563;Danylo Sikan\Danylo-Sikan;ua UKR;FW;ua Shakhtar;18;2001;0.0;0;0;0;0;0;0;;;;;;0.0;0.0;;0.0;0.0;Matches
564;Bernardo Silva\Bernardo-Silva;pt POR;FWMF;eng Manchester City;24;1994;4.6;0;0;0;4;1;0;25.0;0.87;0.22;0.00;0.00;0.3;0.3;0.08;-0.3;-0.3;Matches
565;David Silva\David-Silva;es ESP;MF;eng Manchester City;33;1986;1.2;0;0;0;3;0;0;0.0;2.45;0.00;0.00;;0.5;0.5;0.16;-0.5;-0.5;Matches
566;Rafa Silva\Rafa-Silva;pt POR;FWMF;pt Benfica;26;1993;1.4;1;0;0;3;1;0;33.3;2.18;0.73;0.33;1.00;0.2;0.2;0.08;+0.8;+0.8;Matches
567;Thiago Silva\Thiago-Silva;br BRA;DF;fr Paris S-G;34;1984;6.0;0;0;0;2;0;0;0.0;0.33;0.00;0.00;;0.3;0.3;0.16;-0.3;-0.3;Matches
568;Daley Sinkgraven\Daley-Sinkgraven;nl NED;DFMF;de Leverkusen;24;1995;1.1;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
569;Moussa Sissoko\Moussa-Sissoko;fr FRA;MFFW;eng Tottenham;29;1989;4.6;0;0;0;2;0;0;0.0;0.43;0.00;0.00;;0.2;0.2;0.09;-0.2;-0.2;Matches
570;Mario Šitum\Mario-Situm;hr CRO;MF;hr Dinamo Zagreb;27;1992;0.0;0;0;0;0;0;0;;;;;;0.0;0.0;;0.0;0.0;Matches
571;Oliver Skipp\Oliver-Skipp;eng ENG;MFFW;eng Tottenham;18;2000;0.3;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
572;Milan Škoda\Milan-Skoda;cz CZE;FWMF;cz Slavia Prague;33;1986;0.8;0;0;0;1;1;0;100.0;1.25;1.25;0.00;0.00;0.2;0.2;0.23;-0.2;-0.2;Matches
573;Milan Škriniar\Milan-Skriniar;sk SVK;DF;it Inter;24;1995;6.0;0;0;0;1;1;0;100.0;0.17;0.17;0.00;0.00;0.0;0.0;0.02;0.0;0.0;Matches
574;Igor Smolnikov\Igor-Smolnikov;ru RUS;DF;ru Zenit;30;1988;1.5;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
575;Fyodor Smolov\Fyodor-Smolov;ru RUS;FW;ru Loko Moscow;29;1990;2.2;0;0;0;3;0;0;0.0;1.34;0.00;0.00;;0.2;0.2;0.06;-0.2;-0.2;Matches
576;Eduard Sobol\Eduard-Sobol;ua UKR;DF;be Club Brugge;24;1995;2.9;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
577;Carlos Soler\Carlos-Soler;es ESP;MF;es Valencia;22;1997;3.4;1;0;0;5;2;0;40.0;1.49;0.59;0.20;0.50;0.5;0.5;0.10;+0.5;+0.5;Matches
578;Manor Solomon\Manor-Solomon;il ISR;FWMF;ua Shakhtar;20;1999;1.5;2;0;0;3;2;0;66.7;2.01;1.34;0.67;1.00;0.8;0.8;0.25;+1.2;+1.2;Matches
579;Tomáš Souček\Tomas-Soucek;cz CZE;MF;cz Slavia Prague;24;1995;6.0;2;1;1;12;5;0;41.7;2.00;0.83;0.08;0.20;1.8;1.0;0.09;+0.2;0.0;Matches
580;Adama Soumaoro\Adama-Soumaoro;fr FRA;DF;fr Lille;27;1992;1.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
581;Boubakary Soumaré\Boubakary-Soumare;fr FRA;MF;fr Lille;20;1999;5.9;0;0;0;2;1;0;50.0;0.34;0.17;0.00;0.00;0.1;0.1;0.04;-0.1;-0.1;Matches
