"id";"name";"nation";"position";"team";"age";"born";"90s";"Gls";"PK";"PKatt";"Sh";"SoT";"FK";"SoT%";"Sh/90";"SoT/90";"G/Sh";"G/SoT";"xG";"npxG";"npxG/Sh";"G-xG";"np:G-xG";"Matches"
112;Breel Embolo\Breel-Embolo;ch SUI;FWMF;M'gladbach;22;1997;11.5;6;0;1;27;12;0;44.4;2.35;1.04;0.22;0.50;4.8;4.0;0.15;+1.2;+2.0;Matches
113;Alexander Esswein\Alexander-Esswein;de GER;FWMF;Hertha BSC;29;1990;0.5;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
114;Simon Falette\Simon-Falette;gn GUI;DF;Eint Frankfurt;27;1992;1.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
115;Ohis Felix Uduokhai\Ohis-Felix-Uduokhai;de GER;DF;Augsburg;21;1997;14.4;0;0;0;5;0;0;0.0;0.35;0.00;0.00;;0.2;0.2;0.04;-0.2;-0.2;Matches
116;Edimilson Fernandes\Edimilson-Fernandes;ch SUI;MFDF;Mainz 05;23;1996;13.3;0;0;0;18;1;0;5.6;1.36;0.08;0.00;0.00;0.5;0.5;0.03;-0.5;-0.5;Matches
117;Gelson Fernandes\Gelson-Fernandes;ch SUI;MF;Eint Frankfurt;32;1986;7.5;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
118;Oliver Fink\Oliver-Fink;de GER;MFFW;Düsseldorf;37;1982;7.4;0;0;0;10;0;0;0.0;1.35;0.00;0.00;;0.8;0.8;0.08;-0.8;-0.8;Matches
119;Alfreð Finnbogason\Alfred-Finnbogason;is ISL;FW;Augsburg;30;1989;8.5;3;1;1;17;7;0;41.2;1.99;0.82;0.12;0.29;4.5;3.7;0.22;-1.5;-1.7;Matches
120;Mark Flekken\Mark-Flekken;nl NED;GK;Freiburg;26;1993;9.0;0;0;0;0;0;0;;0.00;0.00;;;0.0;0.0;;0.0;0.0;Matches
121;Emil Forsberg\Emil-Forsberg;se SWE;MF;RB Leipzig;27;1991;9.8;5;2;2;17;6;2;35.3;1.73;0.61;0.18;0.50;3.2;1.7;0.10;+1.8;+1.3;Matches
