"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"xG";"npxG";"xA";"xG_per_match";"xA_per_match";"xG_xA";"npxG_per_match";"npxG_xA";"Matches"
77;Jan Bořil\Jan-Boril;cz CZE;DF;cz Slavia Prague;28;1991;6;6;540;1;0;0;0;2;0;0.17;0.00;0.17;0.17;0.17;0.4;0.4;0.4;0.07;0.07;0.14;0.07;0.14;Matches
78;Milan Borjan\Milan-Borjan;ca CAN;GK;rs Red Star;31;1987;6;6;540;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
79;Andreas Bouchalakis\Andreas-Bouchalakis;gr GRE;MF;gr Olympiacos;26;1993;6;6;484;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.4;0.4;0.2;0.07;0.04;0.11;0.07;0.11;Matches
80;Domagoj Bradarić\Domagoj-Bradaric;hr CRO;DF;fr Lille;19;1999;3;3;270;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.00;0.05;0.05;0.00;0.05;Matches
81;Julian Brandt\Julian-Brandt;de GER;MFFW;de Dortmund;23;1996;6;5;467;2;3;0;0;1;0;0.39;0.58;0.96;0.39;0.96;0.8;0.8;1.9;0.15;0.38;0.53;0.15;0.53;Matches
82;Erling Braut Håland\Erling-Braut-Haland;no NOR;FW;at RB Salzburg;19;2000;6;4;374;8;1;2;2;1;0;1.93;0.24;2.17;1.44;1.68;5.3;3.8;0.4;1.27;0.10;1.38;0.91;1.01;Matches
83;Erling Braut Håland\Erling-Braut-Haland;no NOR;FW;de Dortmund;19;2000;1;1;90;2;0;0;0;0;0;2.00;0.00;2.00;2.00;2.00;0.9;0.9;0.0;0.87;0.00;0.87;0.87;0.87;Matches
84;Claudio Bravo\Claudio-Bravo;cl CHI;GK;eng Manchester City;36;1983;2;1;125;0;0;0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
85;Marcelo Brozović\Marcelo-Brozovic;hr CRO;MF;it Inter;26;1992;6;6;521;0;1;0;0;1;0;0.00;0.17;0.17;0.00;0.17;0.3;0.3;0.5;0.06;0.09;0.15;0.06;0.15;Matches
86;Jacob Bruun Larsen\Jacob-Bruun-Larsen;dk DEN;FW;de Dortmund;20;1998;2;0;19;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
87;Gianluigi Buffon\Gianluigi-Buffon;it ITA;GK;it Juventus;41;1978;1;1;90;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
88;Mick van Buren\Mick-van-Buren;nl NED;FW;cz Slavia Prague;26;1992;2;0;45;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.2;0.19;0.34;0.53;0.19;0.53;Matches
89;Roman Bürki\Roman-Burki;ch SUI;GK;de Dortmund;28;1990;7;7;630;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
90;Sergio Busquets\Sergio-Busquets;es ESP;MF;es Barcelona;31;1988;6;6;439;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.01;0.01;0.02;0.01;0.02;Matches
91;Adem Büyük\Adem-Buyuk;tr TUR;FW;tr Galatasaray;31;1987;2;1;92;1;0;0;0;0;0;0.98;0.00;0.98;0.98;0.98;0.4;0.4;0.0;0.36;0.00;0.36;0.36;0.36;Matches
92;Willy Caballero\Willy-Caballero;ar ARG;GK;eng Chelsea;37;1981;1;1;90;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
93;Mattia Caldara\Mattia-Caldara;it ITA;DF;it Atalanta;25;1994;1;1;75;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.04;0.00;0.04;0.04;0.04;Matches
94;José Callejón\Jose-Callejon;es ESP;MF;it Napoli;32;1987;6;6;503;0;1;1;1;0;0;0.00;0.18;0.18;-0.18;0.00;2.0;1.3;1.7;0.36;0.30;0.66;0.23;0.53;Matches
95;Mohamed Camara\Mohamed-Camara;gn GUI;MF;gr Olympiacos;22;1997;5;5;418;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.2;0.05;0.05;0.09;0.05;0.09;Matches
96;Emre Can\Emre-Can;de GER;MF;de Dortmund;25;1994;1;1;90;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.00;0.12;0.12;0.00;0.12;Matches
97;José Cañas\Jose-Canas;es ESP;MF;rs Red Star;32;1987;5;4;314;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.01;0.00;0.01;0.01;0.01;Matches
98;João Cancelo\Joao-Cancelo;pt POR;DF;eng Manchester City;25;1994;6;4;388;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.2;0.03;0.05;0.07;0.03;0.07;Matches
99;Antonio Candreva\Antonio-Candreva;it ITA;DF;it Inter;32;1987;5;5;390;1;1;0;0;2;0;0.23;0.23;0.46;0.23;0.46;0.5;0.5;1.1;0.12;0.26;0.38;0.12;0.38;Matches
100;Carlos\Carlos;br BRA;FW;pt Benfica;24;1995;5;3;322;1;0;0;0;0;0;0.28;0.00;0.28;0.28;0.28;0.9;0.9;0.1;0.24;0.03;0.27;0.24;0.27;Matches
101;Dani Carvajal\Dani-Carvajal;es ESP;DF;es Real Madrid;27;1992;6;6;540;0;1;0;0;1;0;0.00;0.17;0.17;0.00;0.17;0.2;0.2;1.4;0.03;0.24;0.27;0.03;0.27;Matches
102;Casemiro\Casemiro;br BRA;MF;es Real Madrid;27;1992;7;7;600;1;1;0;0;1;0;0.15;0.15;0.30;0.15;0.30;0.3;0.3;0.4;0.04;0.07;0.11;0.04;0.11;Matches
103;Timothy Castagne\Timothy-Castagne;be BEL;DF;it Atalanta;23;1995;5;4;385;1;0;0;0;1;0;0.23;0.00;0.23;0.23;0.23;1.2;1.2;0.6;0.28;0.13;0.42;0.28;0.42;Matches
104;Edinson Cavani\Edinson-Cavani;uy URU;FW;fr Paris S-G;32;1987;2;0;40;1;0;1;1;0;0;2.25;0.00;2.25;0.00;0.00;0.8;0.0;0.0;1.71;0.00;1.71;0.00;0.00;Matches
105;Zeki Çelik\Zeki-Celik;tr TUR;DF;fr Lille;22;1997;6;6;540;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.3;0.3;0.8;0.05;0.14;0.19;0.05;0.19;Matches
106;Murilo Cerqueira\Murilo-Cerqueira;br BRA;MFDF;ru Loko Moscow;22;1997;5;4;369;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
