id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost;Won%;Matches
115;Alessio Cragno\Alessio-Cragno;it ITA;GK;Cagliari;25;1994;4.0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;;Matches
116;Domenico Criscito\Domenico-Criscito;it ITA;DF;Genoa;32;1986;18.1;6;0;0;28;32;0;55;45;36;0;1;0;158;25;15;62.5;Matches
117;Bryan Cristante\Bryan-Cristante;it ITA;MF;Roma;24;1995;11.5;3;1;0;20;6;0;0;15;8;0;0;0;118;7;14;33.3;Matches
118;Sebastián Cristóforo\Sebastian-Cristoforo;uy URU;MF;Fiorentina;25;1993;1.0;0;0;0;0;2;0;5;1;4;0;0;0;10;0;0;;Matches
119;Juan Cuadrado\Juan-Cuadrado;co COL;DFFW;Juventus;31;1988;20.4;4;1;0;21;48;3;62;23;28;1;0;0;178;8;17;32.0;Matches
120;Felipe Curcio\Felipe-Curcio;br BRA;DF;Brescia;26;1993;0.0;0;0;0;0;0;0;2;0;0;0;0;0;2;1;0;100.0;Matches
121;Patrick Cutrone\Patrick-Cutrone;it ITA;FW;Fiorentina;21;1998;3.3;0;0;0;3;4;5;2;0;3;1;0;0;17;4;15;21.1;Matches
122;Marco D'Alessandro\Marco-DAlessandro;it ITA;DF;SPAL;28;1991;2.9;0;0;0;0;3;0;3;2;2;0;0;0;14;0;7;0.0;Matches
123;Danilo D'Ambrosio\Danilo-DAmbrosio;it ITA;DF;Inter;30;1988;8.4;4;0;0;22;11;2;9;8;7;0;0;0;63;14;11;56.0;Matches
124;Bryan Dabo\Bryan-Dabo;bf BFA;MF;SPAL;27;1992;3.2;1;0;0;3;2;1;2;2;1;0;0;0;18;2;2;50.0;Matches
125;Felipe dal Belo\Felipe-dal-Belo;br BRA;DF;SPAL;35;1984;8.1;4;0;0;18;6;1;2;7;6;0;1;0;56;15;9;62.5;Matches
126;Danilo\Danilo;br BRA;DF;Juventus;28;1991;8.6;1;0;0;10;7;2;21;8;9;0;0;0;84;11;9;55.0;Matches
127;Andrea Danzi\Andrea-Danzi;it ITA;MF;Hellas Verona;20;1999;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Matches
128;Matteo Darmian\Matteo-Darmian;it ITA;DF;Parma;29;1989;20.4;4;0;0;28;32;1;34;17;29;0;0;0;164;17;19;47.2;Matches
129;Paweł Dawidowicz\Pawel-Dawidowicz;pl POL;DFMF;Hellas Verona;24;1995;7.1;4;2;1;19;8;1;2;11;8;0;1;0;63;26;12;68.4;Matches
130;Sebastien De Maio\Sebastien-De-Maio;fr FRA;DF;Udinese;32;1987;10.0;1;0;0;8;6;2;4;24;12;0;0;0;100;23;23;50.0;Matches
131;Rodrigo De Paul\Rodrigo-De-Paul;ar ARG;MF;Udinese;25;1994;20.4;4;1;0;22;54;2;137;14;21;0;0;0;178;2;7;22.2;Matches
132;Mattia De Sciglio\Mattia-De-Sciglio;it ITA;DF;Juventus;26;1992;4.5;0;0;0;0;3;0;7;5;4;0;0;0;40;7;7;50.0;Matches
133;Lorenzo De Silvestri\Lorenzo-De-Silvestri;it ITA;DF;Torino;31;1988;17.2;1;0;0;22;8;5;57;13;7;0;1;0;86;47;31;60.3;Matches
134;Grégoire Defrel\Gregoire-Defrel;mq MTQ;FWMF;Sassuolo;28;1991;7.0;1;0;0;11;7;3;1;2;6;0;0;0;39;3;13;18.8;Matches
135;Alessandro Deiola\Alessandro-Deiola;it ITA;MF;Lecce;23;1995;7.6;2;0;0;6;8;0;10;5;12;0;0;0;70;2;6;25.0;Matches
136;Alessandro Deiola\Alessandro-Deiola;it ITA;MF;Cagliari;23;1995;0.0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;;Matches
137;Cristian Dell'Orco\Cristian-DellOrco;it ITA;DF;Lecce;25;1994;7.7;2;1;1;16;9;0;13;12;11;0;0;0;57;18;10;64.3;Matches
138;Merih Demiral\Merih-Demiral;tr TUR;DF;Juventus;21;1998;4.2;1;0;0;5;1;1;1;4;6;0;1;0;33;21;6;77.8;Matches
139;Diego Demme\Diego-Demme;de GER;MF;Napoli;27;1991;4.1;4;0;0;15;5;0;1;2;7;0;0;0;35;2;5;28.6;Matches
140;Stefano Denswil\Stefano-Denswil;nl NED;DF;Bologna;26;1993;16.8;6;1;1;20;20;0;6;27;23;0;0;1;168;38;10;79.2;Matches
141;Fabio Depaoli\Fabio-Depaoli;it ITA;DFMF;Sampdoria;22;1997;10.9;6;0;0;37;16;1;51;13;18;0;0;0;89;16;22;42.1;Matches
142;Kastriot Dermaku\Kastriot-Dermaku;al ALB;DF;Parma;27;1992;6.3;1;0;0;11;2;0;0;8;5;0;1;0;43;21;6;77.8;Matches
143;Daniele Dessena\Daniele-Dessena;it ITA;MF;Brescia;32;1987;10.6;5;1;1;14;9;0;9;4;8;1;0;0;77;13;12;52.0;Matches
144;Mattia Destro\Mattia-Destro;it ITA;FW;Bologna;28;1991;2.0;2;0;0;6;2;1;0;0;3;0;0;0;5;2;13;13.3;Matches
145;Mattia Destro\Mattia-Destro;it ITA;FW;Genoa;28;1991;0.2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0.0;Matches
146;Samuel Di Carmine\Samuel-Di-Carmine;it ITA;FW;Hellas Verona;30;1988;8.9;2;0;0;24;16;11;5;0;0;1;0;0;30;16;35;31.4;Matches
147;Federico Di Francesco\Federico-Di-Francesco;it ITA;FW;SPAL;25;1994;10.6;4;0;0;14;26;3;35;1;5;1;0;0;58;6;15;28.6;Matches
148;Giovanni Di Lorenzo\Giovanni-Di-Lorenzo;it ITA;DF;Napoli;25;1993;25.0;3;0;0;28;39;1;53;26;36;0;0;0;195;59;49;54.6;Matches
149;Amadou Diawara\Amadou-Diawara;gn GUI;MF;Roma;22;1997;9.6;3;0;0;17;10;0;1;26;17;0;0;0;107;7;7;50.0;Matches
150;Mitchell Dijks\Mitchell-Dijks;nl NED;DF;Bologna;26;1993;3.5;2;0;0;2;4;0;14;2;4;0;0;0;36;3;3;50.0;Matches
151;Federico Dimarco\Federico-Dimarco;it ITA;DF;Hellas Verona;21;1997;0.1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;;Matches
152;Federico Dimarco\Federico-Dimarco;it ITA;DFMF;Inter;21;1997;0.3;0;0;0;1;0;0;0;1;1;0;0;0;5;0;1;0.0;Matches
153;Koffi Djidji\Koffi-Djidji;ci CIV;DF;Torino;26;1992;7.7;0;0;0;9;1;0;0;12;11;0;0;0;70;10;11;47.6;Matches
154;Berat Djimsiti\Berat-Djimsiti;al ALB;DF;Atalanta;26;1993;20.8;2;0;0;23;31;0;3;37;16;0;1;0;237;85;35;70.8;Matches
155;Nicolás Domínguez\Nicolas-Dominguez;ar ARG;MF;Bologna;21;1998;2.4;1;0;0;7;0;0;2;1;5;0;0;0;37;3;1;75.0;Matches
156;Giulio Donati\Giulio-Donati;it ITA;DF;Lecce;29;1990;8.9;1;0;0;4;13;0;23;11;9;0;0;1;70;10;5;66.7;Matches
157;Alfredo Donnarumma\Alfredo-Donnarumma;it ITA;FW;Brescia;28;1990;11.5;0;0;0;14;20;8;3;5;7;0;0;0;45;8;21;27.6;Matches
158;Antonio Donnarumma\Antonio-Donnarumma;it ITA;GK;Milan;29;1990;0.0;1;0;0;0;0;0;0;0;0;;;0;;;;;Matches
159;Gianluigi Donnarumma\Gianluigi-Donnarumma;it ITA;GK;Milan;20;1999;23.6;3;0;0;0;4;0;0;2;0;0;0;0;85;0;0;;Matches
160;Bartłomiej Drągowski\Bartlomiej-Dragowski;pl POL;GK;Fiorentina;21;1997;26.0;1;0;0;0;6;0;0;2;0;0;0;0;151;0;0;;Matches
161;Léo Duarte\Leo-Duarte;br BRA;DF;Milan;23;1996;4.4;2;0;0;3;2;0;0;3;1;0;0;0;30;11;8;57.9;Matches
162;Edgaras Dubickas\Edgaras-Dubickas;lt LTU;DF;Lecce;21;1998;0.0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;Matches
163;Alfred Duncan\Alfred-Duncan;gh GHA;MF;Fiorentina;26;1993;2.8;1;0;0;3;0;0;7;1;1;0;0;0;19;0;3;0.0;Matches
